,Date,PPPB,PPPB_T,PPPB_0,COSTO,COSTO_T,AHORRO,ENER,ENER_H,ENER_T,DISPO,DISPO_H,DISPO_T,DISPA,DISPA_H,DISPA_T,FORMA_01,FORMA_02,FORMA_03,AHORRO100
1514,2022-02-25,245.76960004237264,241.58388595423958,145.75567007122544,47445575.51858,46637527.59958,0.017031048947515948,193049.0,167779.0,25270.0,0.8142444564600965,0.8119980884807864,0.8241934549751287,335465420.0,231114040.0,101893850.0,0.5406552251029907,0.5906812247218188,0.5728812474867068,1.7031048947515948
1515,2022-02-26,251.25792731495076,246.3353934160004,161.02359907217053,46198795.0954,45293688.78739999,0.01959155657914824,183870.0,157698.0,26172.0,0.8301882033211578,0.8263158651509295,0.8438573887344775,341896700.0,235389520.0,103980580.0,0.5642005357759791,0.6389968298086934,0.5800350553563139,1.959155657914824
1516,2022-02-27,242.2032168618644,238.05505792544375,137.7219323759998,40334586.11044,39643784.90644,0.017126770610922493,166532.0,140461.0,26071.0,0.8299669433137824,0.8259227483832217,0.8438086955618446,341765740.0,235237890.0,103974580.0,0.5601373657907197,0.5721382462534214,0.5845116293436993,1.7126770610922493
1517,2022-02-28,272.41507418391836,268.1232465038635,139.92692664310766,51648535.9899,50834826.9209,0.01575473638128133,189595.0,162801.0,26794.0,0.8269007121668195,0.8158461478009631,0.8576948383743569,340820650.0,232875020.0,105481850.0,0.5183116633621017,0.5194664322819288,0.5526941435225913,1.5754736381281331
1518,2022-03-01,272.4842843023214,267.42214238225387,145.88900946852206,52340688.71878001,51368317.06378,0.01857773901723836,192087.0,162098.0,29989.0,0.8186342267752577,0.8025369759286688,0.8608172221582567,336995390.0,228666180.0,105865850.0,0.515257684591769,0.5434610341086888,0.5266328660745317,1.857773901723836
1519,2022-03-02,270.21583929543755,263.11049323245356,138.22158637623846,51928999.13244,50563522.14744,0.026295076119558725,192176.0,165209.0,26967.0,0.8188867193732454,0.802948867794335,0.8608172221582567,337099330.0,228783540.0,105865850.0,0.5058680146508683,0.5225570783440404,0.5137206834682998,2.6295076119558725
1520,2022-03-03,254.6614848935065,249.98565166233772,133.85559198961036,49022335.842,48122237.94500001,0.01836097528891778,192500.0,169815.0,22685.0,0.836433141489443,0.8316852043275657,0.852729852875202,344521150.0,236971360.0,105073850.0,0.48169303499659116,0.5329446908168028,0.5167721311801711,1.836097528891778
1521,2022-03-04,229.1397967470199,215.43763722238106,109.29763132195531,44077102.16246,41441368.458459996,0.05979825294061247,192359.0,180208.0,12151.0,0.8540941577405435,0.856404750868048,0.8544016518022641,352185070.0,244405200.0,105279850.0,0.4632816237952382,0.48216478533376045,0.592360112050755,5.979825294061247
1522,2022-03-05,191.9502504488728,189.9550420244999,110.80310297306325,35052611.08522001,34688260.08922,0.010394403860933377,182613.0,179241.0,3372.0,0.8789016056920488,0.8908418047725772,0.8578661791168766,362222450.0,253826800.0,105910580.0,0.5169903379379239,0.5859628023068854,0.7006725035738874,1.0394403860933377
1523,2022-03-06,198.48436797088948,196.10278076688493,105.45067100708324,32673305.74916,32281263.15316,0.011998865343158083,164614.0,161242.0,3372.0,0.8730722237261719,0.8850890062663718,0.851421061550118,359612540.0,252187660.0,104912580.0,0.4949958965811408,0.5288554419679948,0.6709734802888124,1.1998865343158083
1524,2022-03-07,228.07462549828472,214.33541997951266,131.0496736168124,42748711.28102,40173530.77302,0.06023995650000702,187433.0,178500.0,8933.0,0.8723313377340329,0.8816230920450007,0.8577468674407589,359514640.0,251200120.0,105895850.0,0.49469135227768085,0.5872605652166673,0.603072600604874,6.0239956500007015
1525,2022-03-08,212.06796268898717,209.847319727311,118.60995190777007,40284430.1924,39862596.855399996,0.010471374051595372,189960.0,185613.0,4347.0,0.8489526237226447,0.8493054441828403,0.8541500704103276,349677840.0,241991880.0,105248850.0,0.5096178129152285,0.5729944293716791,0.6252917391532336,1.0471374051595372
1526,2022-03-09,197.5884533103877,195.59393678273543,109.27374431614848,37831668.38998,37449784.29398,0.010094296980599049,191467.0,188095.0,3372.0,0.8543193351614541,0.8545216785045198,0.8587515752241347,351260940.0,243051560.0,105815850.0,0.5268552284290701,0.5627165908628458,0.658424201008047,1.009429698059905
1527,2022-03-10,192.62659634657174,190.73043495286387,110.78569034264244,36963310.19954,36599453.89354,0.009843715404161069,191891.0,188519.0,3372.0,0.8415338371722271,0.8734017995742831,0.7737008336920397,346571600.0,248805230.0,95335850.0,0.5374191303609673,0.5882520738006414,0.6902216034722913,0.9843715404161069
1528,2022-03-11,179.4492907805037,177.73277267722736,109.48740514240124,34188319.98092,33861292.38492,0.009565477220948915,190518.0,187146.0,3372.0,0.8450597551992907,0.8790073189843347,0.7723171153692878,348275180.0,250454810.0,95348850.0,0.5547355178888194,0.6080845195949118,0.6901929813878501,0.9565477220948915
1529,2022-03-12,182.23507588880827,180.36988710914648,113.23188009368609,33145644.542960003,32806396.54696,0.010235070117894596,181884.0,178512.0,3372.0,0.7918739568768817,0.8791360670583619,0.5952832927365838,326383610.0,250522510.0,73492580.0,0.5690412164156959,0.6183953004168037,0.6589947931533525,1.0235070117894596
1530,2022-03-13,195.46850420797622,193.13268712622585,123.70190964413528,31951477.16634,31569662.17034,0.011949838625997189,163461.0,160089.0,3372.0,0.7981356240764417,0.8824088263759177,0.6075088443032559,328774820.0,251455130.0,74857580.0,0.5489781766297531,0.6325998353718422,0.6438982567251771,1.194983862599719
1531,2022-03-14,199.98733966921557,197.8963503445313,124.20137591588625,37242442.34256,36853049.946559995,0.010455608480730905,186224.0,182852.0,3372.0,0.7858881383153107,0.8652430736806445,0.6073324938630371,323368160.0,246165420.0,74835850.0,0.5434098813448234,0.62827323021158,0.6409821055358044,1.0455608480730905
1532,2022-03-15,223.11967099788362,220.62450995182337,133.27607556455987,41959439.08852,41490204.09252,0.011183061694654106,188058.0,184686.0,3372.0,0.7753468543766417,0.8344912061086691,0.6424321558025706,319754060.0,238194860.0,79160850.0,0.5151702184159267,0.5993883655765085,0.5809991890081428,1.1183061694654106
1533,2022-03-16,232.7102270035625,230.76677123367196,141.78733957778073,44092770.2615,43724533.979499996,0.00835139819557984,189475.0,180648.0,8827.0,0.8031292445307829,0.8114381965993636,0.7880003953885618,331561590.0,231968330.0,97097850.0,0.5222952425513717,0.60855806687678,0.5370551558098198,0.835139819557984
1534,2022-03-17,234.31647625099143,231.24196223961428,132.8785812352073,44609405.06514,44024076.01314001,0.013121202830328693,190381.0,172561.0,17820.0,0.8328176276942684,0.8230489322262645,0.8602317751987755,343200440.0,234872710.0,105793850.0,0.5187174239323998,0.5658691208493621,0.5286600196995357,1.3121202830328693
1535,2022-03-18,217.44760110275504,212.57409038807634,117.80116933972003,41491829.10922,40561899.90922001,0.022412345272899703,190813.0,179011.0,11802.0,0.8547821544070267,0.857115938618604,0.8550995872766688,352455020.0,244594380.0,105365850.0,0.506336455199977,0.540261562137997,0.5717184539539711,2.2412345272899703
