FECHA	HORA	I_A	I_B	I_C	KVA_Tot	kVAr_Tot	kW_Tot	V_A_B	V_B_C	V_C_A
2018-10-30	16:00:00	90.1298522949219	91.0467300415039	89.7129745483398	1731.28588867188	261.246826171875	1711.87023925781	11232.7373046875	11261.2001953125	11306.5263671875
2018-10-30	17:00:00	83.5725555419922	85.4313659667969	85.5078430175781	1708.03979492188	228.882385253906	1693.00061035156	11265.6416015625	11295.10546875	11340.056640625
2018-10-30	19:00:00	78.9880676269531	79.6440277099609	79.0779800415039	1555.52258300781	87.7765045166016	1552.52258300781	11331.4501953125	11362.916015625	11407.1162109375
2018-10-30	20:00:00	70.4534072875977	68.9741134643555	70.5171737670898	1355	64.6729736328125	1356.66320800781	11302.02734375	11329.8212890625	11381.533203125
2018-10-30	21:00:00	63.3985176086426	62.6985168457031	63.7970352172852	1225.97888183594	74	1235.00817871094	11328.345703125	11358.1630859375	11403.8935546875
2018-10-30	22:00:00	50.8995552062988	50.7984352111816	51.4988822937012	1002.03570556641	88.0335006713867	998.033508300781	11379.6826171875	11413.2255859375	11451.044921875
2018-10-30	23:00:00	49.8981094360352	50.6976356506348	51.0973968505859	983.997619628906	76	991.229064941406	11417.8935546875	11453.07421875	11490.34765625
2018-10-31	00:00:00	47.2002296447754	48.0009117126465	48.8993148803711	931.0068359375	45.9931488037109	940.677062988281	11268.8515625	11306.060546875	11340.8515625
2018-10-31	01:00:00	47.398868560791	47.7966003417969	48.597957611084	942.963745117187	56.9796028137207	940.968994140625	11249.9228515625	11289.6318359375	11321.9228515625
2018-10-31	02:00:00	47.6012992858887	48.1995658874512	48.1008644104004	930.045471191406	54.0151672363281	928.045471191406	11230.9951171875	11273.203125	11302.9951171875
2018-10-31	03:00:00	49.4960060119629	49.5983543395996	50.4955368041992	965.950622558594	78.9765014648438	962.977661132813	11212.06640625	11256.7744140625	11284.06640625
2018-10-31	04:00:00	48.6032180786133	49.2013740539551	50.402530670166	974.976989746094	68.9815979003906	972.974731445312	11193.1376953125	11240.345703125	11265.1376953125
2018-10-31	05:00:00	49.1969871520996	48.6979293823242	50.196418762207	959.956665039062	36.9886932373047	958.975524902344	11174.208984375	11223.9169921875	11246.208984375
2018-10-31	06:00:00	58.4019012451172	59.1013298034668	56.9009513854981	1142.99047851563	104.007598876953	1137.98571777344	11207.3466796875	11254.6884765625	11277.017578125
2018-10-31	07:00:00	70.2847366333008	70.0486450195313	67.6430816650391	1350.37512207031	117.416549682617	1347.50109863281	11086.5869140625	11133.1689453125	11155.8779296875
2018-10-31	08:00:00	78.3001861572266	78.0975723266602	75.2988815307617	1500.93090820313	169.985061645508	1490.93273925781	11053.6201171875	11115.1533203125	11129.3603515625
2018-10-31	11:00:00	90.5485000610352	90.0106201171875	90.0485000610352	1688	218	1674	11125.599609375	11165.66015625	11197.6396484375
2018-10-31	13:00:00	83.0999984741211	85.1164321899414	84.9917831420899	1650	221	1635	11164.388671875	11195.9365234375	11232.5146484375
2018-10-31	14:00:00	84.4649276733398	86.6649322509766	84.6816101074219	1593.10559082031	222.299591064453	1577.49353027344	11215.763671875	11249.927734375	11285.7919921875
2018-10-31	15:00:00	83.5999984741211	85.5022201538086	84.1018142700195	1661.98791503906	253.995971679687	1642.97985839844	11267.1376953125	11303.91796875	11339.0693359375
2018-10-31	16:00:00	80.1019134521484	82.0114898681641	80.3528747558594	1571	191	1559	11318.5126953125	11357.9091796875	11392.345703125
2018-10-31	17:00:00	70.4159622192383	71.6239395141602	69.4669570922852	1435	164	1426	11354.15625	11395.2841796875	11361.09375
2018-10-31	18:00:00	70.0246887207031	69.5948104858398	67.8824691772461	1363	136	1356	11364.8935546875	11406.3515625	11381.724609375
2018-10-31	19:00:00	65.9000015258789	65.7977752685547	64.299446105957	1278.96374511719	85.9776916503906	1267.30407714844	11375.630859375	11417.4189453125	11402.3544921875
